Date,Close/Last,Volume,Open,High,Low,Company
11/02/2021,"145,86",21150580,"144,81"," 146,92"," 144,64",Google
11/01/2021,"143,77",32272100,"148,16"," 148,40"," 143,58",Google
10/29/2021,"148,27",28954500,"145,52"," 148,61"," 145,17",Google
10/28/2021,"146,13",32418060,"147,30"," 147,42"," 144,76",Google
10/27/2021,"146,43",51850920,"139,90"," 149,12"," 139,90",Google
10/26/2021,"139,67",28258740,"140,61"," 140,84"," 139,01",Google
10/25/2021,"138,77",21081700,"138,81"," 139,21"," 136,75",Google
10/22/2021,"138,62",30182640,"140,35"," 141,56"," 137,17",Google
10/21/2021,"142,78",14849920,"142,19"," 142,85"," 141,64",Google
10/20/2021,"142,41",17939500,"144,22"," 144,25"," 141,91",Google
10/19/2021,"143,82",15315840,"143,29"," 144,11"," 143,10",Google
10/18/2021,"142,96",16567200,"141,21"," 143,00"," 141,21",Google
10/15/2021,"141,68",21253360,"142,20"," 142,20"," 141,06",Google
10/14/2021,"141,41",21437560,"139,95"," 141,65"," 139,34",Google
10/13/2021,"137,90",16393280,"137,75"," 138,55"," 136,98",Google
10/12/2021,"136,71",22535020,"139,64"," 139,69"," 136,25",Google
10/11/2021,"138,85",16584760,"139,80"," 140,76"," 138,81",Google
10/08/2021,"140,06",18928420,"139,91"," 140,32"," 139,43",Google
10/07/2021,"139,19",18250460,"138,86"," 140,15"," 138,56",Google
10/06/2021,"137,35",19764320,"134,63"," 137,85"," 134,49",Google
10/05/2021,"136,18",24126740,"134,00"," 137,36"," 134,00",Google
10/04/2021,"133,76",31529900,"135,70"," 135,70"," 131,17",Google
10/01/2021,"136,46",28387300,"133,55"," 137,07"," 133,38",Google
09/30/2021,"133,27",35363980,"134,32"," 135,59"," 133,00",Google
09/29/2021,"134,52",26337220,"137,11"," 137,40"," 134,25",Google
09/28/2021,"136,18",42189660,"139,09"," 139,61"," 135,70",Google
09/27/2021,"141,50",18844080,"141,59"," 142,50"," 140,50",Google
09/24/2021,"142,63",14949340,"140,95"," 142,90"," 140,85",Google
09/23/2021,"141,83",17276100,"141,61"," 142,25"," 141,10",Google
09/22/2021,"140,94",22067800,"140,05"," 141,58"," 139,47",Google
09/21/2021,"139,65",18129380,"140,12"," 140,81"," 138,91",Google
09/20/2021,"139,02",34917720,"139,00"," 139,36"," 137,05",Google
09/17/2021,"141,46",60039820,"143,80"," 144,25"," 141,06",Google
